Horário,Objetos
2022-11-28T18:23:23.017159400,2
2022-11-28T18:26:01.632354400,2
2022-11-28T18:26:06.580613200,2
2022-12-01T23:52:25.164540700,0
2022-12-01T23:52:27.308787500,10
2022-12-01T23:53:04.466466300,0
2022-12-01T23:54:35.567630800,0
2022-12-01T23:54:37.712345300,10
2022-12-01T23:55:48.081215,0
2022-12-01T23:55:54.335962800,0
2022-12-01T23:55:56.475957600,10
2022-12-01T23:56:22.885157600,0
2022-12-01T23:56:25.036783400,10
2022-12-01T23:56:27.218901200,30
2022-12-01T23:56:29.365016700,64
2022-12-01T23:56:31.527882100,78
2022-12-01T23:56:33.664829300,84
2022-12-01T23:56:35.814843600,92
2022-12-01T23:56:37.970323300,95
2022-12-01T23:56:52.497447600,0
2022-12-01T23:56:54.647259900,10
2022-12-01T23:59:20.227978,0
2022-12-01T23:59:22.370409,0
2022-12-01T23:59:24.527616800,0
2022-12-01T23:59:26.676305700,0
2022-12-01T23:59:28.809615200,0
2022-12-01T23:59:30.958881500,0
2022-12-01T23:59:33.114084800,0
2022-12-01T23:59:35.267485200,0
2022-12-01T23:59:37.411384,0
2022-12-01T23:59:39.560628300,0
2022-12-01T23:59:41.705832800,0
2022-12-01T23:59:43.856353400,0
2022-12-01T23:59:45.998826100,0
2022-12-01T23:59:48.152255400,0
2022-12-01T23:59:50.302883400,0
2022-12-01T23:59:52.451179,0
2022-12-01T23:59:54.604331800,0
2022-12-01T23:59:56.757115,0
2022-12-02T00:30:04.756234900,0
2022-12-02T00:30:06.893224800,0
2022-12-02T20:34:14.273471900,0
2022-12-02T20:34:16.462538100,0
2022-12-02T20:34:18.608589600,0
2022-12-02T20:34:20.781375300,0
2022-12-02T20:34:31.939749400,0
2022-12-02T20:35:07.149800200,3
2022-12-02T20:35:09.380787700,3
2022-12-02T20:35:11.605713700,3
2022-12-02T20:35:13.818924,3
2022-12-02T20:35:16.031830200,3
2022-12-02T20:35:18.248238800,3
2022-12-02T20:36:45.239287600,3
2022-12-02T20:37:15.534333300,3
2022-12-02T20:37:52.084180200,3
2022-12-02T20:38:08.863030300,3
2022-12-02T20:38:11.040724900,3
2022-12-02T20:39:01.243765800,3
2022-12-02T20:39:03.486591700,3
2022-12-02T20:39:27.884139700,3
2022-12-02T20:39:32.774770700,3
2022-12-02T20:40:22.741546600,3
2022-12-02T20:41:43.516350200,3
2022-12-02T20:42:06.187295600,3
2022-12-02T20:42:08.415844500,3
2022-12-02T20:43:29.132512700,3
2022-12-02T20:43:31.389895600,3
2022-12-02T20:43:33.636997300,3
2022-12-02T20:44:20.544839500,3
2022-12-02T20:44:22.798019300,3
2022-12-02T20:44:41.710650300,3
2022-12-02T20:44:43.900282600,3
2022-12-02T20:44:46.133604900,3
2022-12-02T20:45:45.347836600,3
2022-12-02T20:45:47.659125500,3
2022-12-02T20:45:49.904491200,3
2022-12-02T20:45:52.170989800,3
2022-12-02T20:45:54.401792300,3
2022-12-02T20:45:56.623606900,3
